PID,MinPubYear,MaxPubYear,NPubYears
230234,1987,2020,34
73455,2009,2020,12
251890,2013,2015,3
146243,2008,2012,5
152029,2008,2015,8
440842,2007,2015,9
222078,1997,2020,24
12430,2008,2017,10
581209,1999,2005,7
147720,1994,2020,27
668379,2007,2013,7
199461,2006,2019,14
157273,2010,2013,4
143820,2003,2009,7
466299,2000,2020,21
464624,2000,2003,4
641067,2004,2010,7
450184,2005,2013,9
134953,2002,2021,20
442548,2011,2013,3
132682,2002,2011,10
148307,2012,2017,6
453511,2001,2002,2
457284,2000,2008,9
140831,1999,2009,11
528822,2000,2018,19
588968,2005,2009,5
145603,1998,2020,23
15461,2003,2012,10
202785,2010,2018,9
490068,2014,2020,7
499798,2002,2004,3
133146,2004,2013,10
185063,2007,2019,13
136339,2005,2015,11
410793,1998,2018,21
94444,2000,2005,6
450583,2002,2019,18
372119,1994,2020,27
268545,2004,2019,16
287817,1997,2003,7
375338,2002,2020,19
77723,1997,2017,21
149130,2011,2019,9
156636,2009,2019,11
130883,2002,2015,14
142910,2006,2018,13
450555,2004,2014,11
694647,2010,2020,11
178843,2005,2006,2
222052,2001,2002,2
285011,2009,2020,12
102607,2004,2020,17
375260,2007,2013,7
142442,1995,2020,26
559050,1997,2003,7
134596,2004,2012,9
149961,2000,2003,4
434452,2004,2017,14
158275,2002,2016,15
382967,2003,2010,8
253457,2009,2020,12
154045,1996,2000,5
224401,2009,2019,11
601927,2001,2020,20
1604,2003,2020,18
137145,2010,2020,11
148382,1994,2007,14
157575,2008,2016,9
152197,2000,2002,3
135530,2005,2007,3
158736,2001,2007,7
679961,2010,2012,3
244091,2004,2019,16
457400,2005,2009,5
238136,2010,2017,8
643534,1999,2002,4
545853,2001,2020,20
179615,2010,2019,10
504877,2004,2020,17
451147,2011,2019,9
145336,1996,2017,22
412383,2000,2020,21
144113,2006,2011,6
439907,2006,2020,15
529032,2006,2020,15
256462,2005,2020,16
180753,2007,2011,5
139213,2005,2020,16
148719,2003,2004,2
397431,2007,2020,14
9571,2007,2017,11
262709,2010,2018,9
441371,2002,2006,5
527241,2004,2006,3
385074,2004,2011,8
184783,2009,2013,5
176220,2007,2020,14
139181,2002,2020,19
139556,2005,2007,3
463524,2009,2017,9
670744,2005,2009,5
397156,2007,2011,5
273965,1997,2020,24
160227,2006,2017,12
140948,2005,2009,5
134221,1998,2010,13
259671,1999,2003,5
385461,2004,2009,6
256751,2003,2020,18
146383,2003,2006,4
200023,2006,2019,14
95181,1999,2001,3
534596,2007,2011,5
178933,1996,2020,25
203238,2012,2020,9
161130,2003,2020,18
362180,2003,2012,10
474726,2003,2020,18
160172,2005,2019,15
173071,2001,2013,13
145861,2000,2015,16
154141,2006,2007,2
135238,2000,2020,21
464303,2002,2010,9
205281,2000,2000,1
137336,2006,2020,15
144565,2004,2015,12
149143,2012,2015,4
386782,2009,2020,12
64342,2005,2009,5
467242,2009,2010,2
468560,2004,2019,16
457469,2011,2015,5
439423,2011,2013,3
3934,1993,2020,28
439422,2007,2010,4
166548,2009,2018,10
151560,2007,2020,14
143544,2009,2020,12
55209,1996,2020,25
187399,2001,2005,5
689349,2004,2010,7
427619,2004,2020,17
487278,2013,2017,5
495634,2005,2007,3
143733,2000,2005,6
145447,2005,2010,6
135907,1998,2019,22
387229,2006,2009,4
134763,1999,2020,22
172594,2005,2016,12
463935,2005,2012,8
636514,2009,2019,11
490440,1999,2013,15
238667,2008,2010,3
291268,2004,2020,17
529031,2006,2016,11
64967,2007,2014,8
177049,2004,2005,2
155484,2011,2017,7
600290,2004,2011,8
267577,2004,2013,10
155379,2014,2017,4
496754,1982,1998,17
463577,2002,2010,9
385781,2007,2014,8
464052,2002,2007,6
161388,2002,2020,19
217794,1997,2011,15
239031,2007,2015,9
650709,1968,2020,53
142552,2006,2018,13
142616,1970,2011,42
230950,2000,2019,20
181481,2006,2013,8
277837,2011,2013,3
135699,1995,2020,26
650256,2000,2003,4
461296,1999,2018,20
451653,2006,2012,7
482991,2012,2015,4
149644,2010,2013,4
152683,2002,2009,8
248681,1999,2005,7
171862,2003,2009,7
555963,2006,2010,5
432802,2003,2020,18
27818,2003,2020,18
161777,2002,2014,13
503578,2001,2007,7
462042,2001,2002,2
400208,2004,2020,17
407767,2007,2008,2
157737,2000,2003,4
414311,1997,2016,20
630522,2009,2016,8
435026,1981,2020,40
156282,2004,2009,6
464516,1998,2008,11
387279,2003,2009,7
264717,2005,2016,12
148976,2013,2020,8
385076,2003,2020,18
156852,2008,2012,5
545661,2004,2005,2
182457,1999,2013,15
144131,2009,2012,4
484649,2011,2020,10
202896,2000,2016,17
152263,2003,2009,7
145306,1997,2020,24
157789,2013,2020,8
137626,2007,2019,13
440006,2004,2007,4
408046,2008,2010,3
200126,2011,2014,4
466986,2001,2006,6
372550,2006,2020,15
230938,1997,2020,24
13115,2011,2020,10
157424,2004,2020,17
238690,2003,2020,18
773869,2008,2018,11
146958,2002,2007,6
185193,1998,2000,3
95899,2003,2019,17
251361,2009,2017,9
140380,2010,2013,4
362400,2002,2009,8
138044,2002,2008,7
148601,2004,2020,17
138171,2003,2020,18
161030,2008,2020,13
490412,2007,2020,14
613559,2005,2012,8
147868,2001,2005,5
561744,2000,2020,21
151380,2002,2003,2
774323,2001,2020,20
726123,2008,2014,7
160318,2008,2020,13
131496,2001,2001,1
726609,2004,2019,16
670181,2002,2004,3
175819,2010,2020,11
197822,2006,2014,9
440241,2006,2014,9
94939,2000,2001,2
410203,2012,2018,7
132902,2011,2016,6
157628,2009,2019,11
652576,1999,2006,8
434667,2012,2016,5
159832,2004,2020,17
616760,2006,2009,4
424801,2000,2016,17
143521,2006,2018,13
462019,2006,2011,6
484599,2010,2013,4
140388,2002,2006,5
30081,2010,2016,7
525037,2007,2011,5
559049,1997,2020,24
178372,2004,2013,10
157430,1998,2020,23
143560,2007,2020,14
297426,2000,2020,21
568593,2000,2020,21
426008,2008,2017,10
241533,2002,2020,19
170280,2002,2020,19
142653,2003,2020,18
146522,2005,2013,9
177956,2005,2020,16
657578,2001,2007,7
414156,2002,2007,6
216252,2003,2016,14
182602,1994,2020,27
591554,2001,2020,20
291623,2010,2020,11
390831,2007,2011,5
154606,2004,2020,17
133027,1999,2007,9
774312,1998,2014,17
442212,1997,1999,3
465001,2000,2020,21
136907,2009,2014,6
490183,1985,2003,19
435769,2004,2020,17
97318,2007,2020,14
405564,2007,2020,14
600995,2002,2019,18
103504,2007,2018,12
153507,2006,2019,14
522059,2005,2020,16
219163,1998,2015,18
438719,2000,2018,19
488737,2004,2021,18
149586,1999,2005,7
5425,1994,2002,9
128335,1999,2005,7
200037,2009,2013,5
259791,2004,2007,4
567037,2002,2019,18
487413,2007,2021,15
158527,2011,2018,8
438693,2008,2020,13
143170,2010,2015,6
504883,2009,2012,4
499320,2011,2016,6
370041,1998,2020,23
484501,2008,2020,13
183814,1997,2001,5
174651,2002,2007,6
667493,2007,2010,4
414310,2008,2012,5
205378,2013,2020,8
550368,2005,2020,16
726119,2002,2008,7
190561,2001,2015,15
156839,2010,2020,11
446856,2003,2018,16
403333,2013,2015,3
152148,2002,2005,4
375639,2000,2020,21
262731,2004,2009,6
495526,2000,2006,7
255811,2010,2017,8
185463,2008,2020,13
670937,2012,2019,8
403006,2004,2006,3
397142,2008,2010,3
138092,2004,2020,17
733046,2012,2018,7
426427,2003,2018,16
451011,2010,2016,7
65620,2003,2020,18
151900,2005,2014,10
149046,2004,2015,12
165925,2006,2009,4
136831,2002,2006,5
193547,1993,2020,28
147910,2004,2020,17
558942,2003,2003,1
482445,2003,2005,3
467569,2005,2020,16
241657,2003,2020,18
137124,2008,2012,5
137705,2012,2014,3
137272,2002,2007,6
661800,2003,2016,14
183529,2003,2020,18
447947,2009,2020,12
136948,2004,2009,6
283820,2006,2012,7
146255,1999,2004,6
153468,2008,2014,7
585930,2001,2012,12
136403,2006,2018,13
723589,2000,2019,20
535640,2001,2005,5
149540,2009,2018,10
718031,2011,2020,10
199996,2006,2010,5
54610,2010,2013,4
137327,2004,2012,9
57467,1991,2020,30
65680,1972,2020,49
769374,1978,2020,43
497044,1976,2020,45
225968,1997,2020,24
393592,2002,2019,18
412601,1994,2020,27
29108,1953,2020,68
397881,1987,2020,34
67212,1972,2020,49
225743,1981,2021,41
54289,1987,2020,34
686713,1973,2020,48
52666,1975,2020,46
184439,1993,2020,28
56471,1964,2018,55
59305,1978,2020,43
225787,1950,2020,71
249772,1955,2020,66
97580,1970,2020,51
57156,1983,2020,38
351241,1988,2020,33
61791,1985,2020,36
498023,1995,2020,26
102267,1990,2020,31
57042,1979,2020,42
460320,1995,2020,26
68061,1938,2020,83
63541,1970,2020,51
89583,1995,2020,26
304369,2009,2018,10
46855,2013,2019,7
69365,1986,2017,32
56116,1970,2019,50
121871,1995,2020,26
449349,1986,2020,35
185665,1979,2020,42
477789,1995,2020,26
460314,1995,2020,26
83946,1992,2020,29
536612,1980,2020,41
56274,1984,2020,37
1912,1985,2020,36
1733,1976,2020,45
173039,1997,2020,24
166149,1967,2020,54
52814,1870,2020,151
349034,1993,2020,28
57362,1973,2020,48
176700,1986,2020,35
516067,1971,2020,50
671,1974,2020,47
180135,1966,2020,55
233935,1985,2020,36
415300,1984,2020,37
393463,1986,2013,28
80701,1996,2020,25
99637,1988,1988,1
181618,1899,2010,112
214497,1991,2020,30
62720,1972,2020,49
178051,1992,2020,29
13256,1965,2011,47
63506,1979,2020,42
345615,1992,2018,27
107884,1969,2020,52
648235,1997,2019,23
67919,1999,2020,22
164273,1998,2020,23
412827,1981,2017,37
8037,1992,2020,29
642190,1994,1997,4
366259,1979,2020,42
460336,1997,2020,24
477798,1970,2020,51
204409,1984,2020,37
393493,1999,2012,14
542887,1965,1970,6
159205,2010,2019,10
190428,1996,2018,23
214478,1986,2020,35
69446,1990,2020,31
250993,1994,2017,24
52460,1968,2017,50
56755,1970,2020,51
578706,1985,2020,36
743493,1980,2020,41
411155,1965,1975,11
175895,1980,2020,41
57453,1987,2020,34
176719,1974,2020,47
478221,1970,2011,42
344807,1970,2020,51
66716,1964,2020,57
62619,1973,2020,48
437616,1986,2020,35
438097,1984,2020,37
223305,2010,2014,5
351679,1995,2020,26
351152,1984,2020,37
380315,1989,2020,32
437963,1974,2011,38
67336,1991,2020,30
628815,1983,2019,37
56427,1994,2020,27
181146,1998,2020,23
587842,1992,2017,26
56494,1964,2020,57
577384,1990,2020,31
717537,1967,2020,54
57277,1970,2018,49
502438,1978,2020,43
574018,1960,2020,61
68999,1988,2020,33
477500,1977,2020,44
236052,1990,2020,31
415218,1988,2020,33
193193,1993,2020,28
204324,1986,2020,35
437430,1983,2020,38
399701,1978,2020,43
771178,1969,2020,52
384853,1995,2020,26
91870,1981,2020,40
165340,1974,2019,46
69552,1985,2020,36
582693,1996,2018,23
443427,1991,2020,30
69553,1979,2020,42
380256,1970,2020,51
67513,1976,2020,45
30306,1985,2020,36
413228,1985,2020,36
519711,1990,2020,31
65664,1988,2020,33
62661,1986,2020,35
286791,1971,2020,50
273878,1973,2020,48
5619,1978,2011,34
227236,2003,2020,18
68980,1971,2020,50
64938,1962,2020,59
449380,1976,2020,45
655916,1994,2018,25
399341,1977,2020,44
578852,1988,2021,34
384576,1962,2020,59
605123,2002,2015,14
187888,1983,2020,38
250574,1975,2020,46
64969,1969,2018,50
508843,1973,2019,47
213918,1986,2020,35
63378,1975,2019,45
249980,1987,2020,34
460415,1981,2020,40
349022,1987,2020,34
757936,1992,2020,29
670963,1989,2020,32
235888,1994,2020,27
52880,1970,2020,51
752933,1981,2020,40
3438,1974,2020,47
100499,1998,2020,23
551620,1990,2020,31
180153,1987,2020,34
80224,1988,2020,33
460217,1979,2020,42
57679,1981,2019,39
538473,1972,2020,49
58873,1870,2020,151
55823,1990,2020,31
50633,2003,2020,18
490907,1966,2017,52
251186,1985,2005,21
62996,1989,2020,32
351501,1983,2018,36
234896,1967,2020,54
552476,1990,2019,30
508900,1987,2020,34
57513,1990,2020,31
2358,2000,2020,21
56093,1980,2020,41
37225,1990,2020,31
55735,1974,2020,47
379578,1976,2020,45
345262,1981,2020,40
51425,1993,2020,28
49885,1975,2020,46
437536,1990,2020,31
2847,2002,2020,19
444170,1946,2020,75
97628,1979,2020,42
68228,1904,2021,118
226250,1999,2020,22
263520,1985,2021,37
459886,1997,2020,24
287580,1983,2020,38
14933,1984,2020,37
460298,1997,2020,24
396121,1990,2020,31
384926,1975,2020,46
456218,1981,2020,40
97121,1981,2020,40
5969,1979,2020,42
162951,1985,2020,36
66011,1982,2020,39
738328,1994,2020,27
195519,1994,2020,27
179190,1990,2020,31
8197,1979,2020,42
57487,1984,2020,37
345840,1986,2020,35
62733,1990,2020,31
66388,1984,2020,37
147022,2001,2020,20
416292,1979,2020,42
62504,1968,2020,53
348834,1989,2020,32
345979,1981,2020,40
187711,1981,2020,40
263691,1993,2019,27
56275,1983,2020,38
444098,1981,2020,40
286918,1990,2020,31
399634,1994,2021,28
477008,1971,2020,50
214471,1985,2020,36
204342,1991,2020,30
63471,1988,2020,33
61646,1974,2018,45
56197,1975,2020,46
287592,1993,2020,28
63251,1967,2010,44
690052,1993,2020,28
67184,1990,2020,31
271754,1989,2020,32
59398,1975,2020,46
91764,1990,2020,31
263663,1963,2020,58
384593,1978,2019,42
59192,1981,2020,40
606744,1988,2020,33
429753,2000,2005,6
286254,1988,2020,33
233668,1996,2020,25
460394,1994,2020,27
57133,1979,2020,42
192950,1973,2020,48
443571,1994,2019,26
539768,1993,2020,28
57792,1976,2016,41
69788,1976,2015,40
64685,1996,2020,25
155916,2001,2019,19
264598,1979,2021,43
396113,1988,2020,33
345790,1978,2021,44
138450,1959,2013,55
188375,2000,2020,21
67402,1972,2020,49
57486,1983,2020,38
588559,1967,2019,53
416134,1984,2020,37
384786,1984,2020,37
529503,1974,2012,39
