,PID,Decade,PubCountDecade,PercentileRankDecade
133,49087,2.0,33,0.2255038959143385
134,49247,1.0,24,0.23602964649484415
135,49247,2.0,31,0.10521664068962042
136,49470,1.0,14,0.08564103261498593
137,49470,2.0,28,0.13405171049823042
138,49780,1.0,6,0.049904664994638644
139,49780,2.0,6,0.03200525955553526
140,49822,1.0,35,0.08777364352446186
141,49822,2.0,41,0.06992054919328693
142,49885,1.0,18,0.16609869334848978
143,49885,2.0,72,0.11040267782308452
144,50277,1.0,41,0.35066419174074676
145,50277,2.0,113,0.16234870844375754
146,50321,1.0,9,0.4292280064182897
147,50321,2.0,19,0.07512818286594784
148,51202,1.0,22,0.38180772673092805
149,51202,2.0,55,0.16169639911021116
150,51425,1.0,21,0.14698343379140416
151,51425,2.0,63,0.15062272320162323
152,52460,1.0,32,0.20220031135455976
153,52460,2.0,79,0.21311881622833295
154,52577,1.0,16,0.265481989363809
155,52577,2.0,15,0.13958949879505958
156,52666,1.0,35,0.17989845461471318
157,52666,2.0,121,0.1567827439219827
158,52768,1.0,6,0.46365561478808176
159,52768,2.0,46,0.1662926118385195
160,52814,1.0,1,0.5
161,52823,1.0,39,0.20707936530128931
162,52823,2.0,179,0.22206585477844448
163,52880,1.0,6,0.37002440673120035
164,52880,2.0,85,0.1992208737839866
165,53175,1.0,16,0.12701906277712777
166,53175,2.0,53,0.16369244832843408
167,53192,1.0,29,0.27049448351284994
168,53192,2.0,40,0.1058747782812663
169,53710,1.0,35,0.25707120183917226
170,53710,2.0,67,0.22350148117336333
171,53712,1.0,1,0.9
172,53712,2.0,7,0.22478385596017114
173,53777,1.0,75,0.1450623331268956
174,53777,2.0,120,0.13574897088642804
175,53779,1.0,107,0.2233651340364783
176,53779,2.0,249,0.20362464743129893
177,53897,1.0,15,0.3884277427660344
178,53897,2.0,6,0.1587930863990028
179,53949,1.0,37,0.0942847517524473
180,53949,2.0,48,0.11701869746584027
181,54091,1.0,48,0.06947083197572969
182,54091,2.0,276,0.10883585558435348
183,54289,1.0,108,0.115555920621573
184,54289,2.0,414,0.08148978898879303
185,54312,1.0,33,0.35400164638852366
186,54312,2.0,40,0.14173780199993988
187,55106,1.0,18,0.3203553734039059
188,55106,2.0,23,0.1178146234312604
189,55209,1.0,11,0.6201856929407845
190,55209,2.0,29,0.04826158894404086
191,55681,1.0,22,0.13806229998692657
192,55681,2.0,61,0.13528258877798802
193,55735,1.0,40,0.258974558846206
194,55735,2.0,123,0.15942138979908774
195,55823,1.0,33,0.12595898384918636
196,55823,2.0,63,0.09209919851051988
