PID,MinMaxYearSpecter,TwoDecadeSpecter,MinPubYear,MaxPubYear,NPubYears,MinMaxYearSpecterNorm,IsMentee,IsMentor,StopYear,MentorStopYear
159845,0.1592991362868632,,2010,2017,8,0.0199123920358579,True,False,2012.0,
306394,0.08709833027597275,,1997,1998,2,0.04354916513798637,True,False,2010.0,
129770,0.2571908682282417,,2011,2020,10,0.025719086822824172,True,False,2013.0,
150197,0.11757904162064285,,1999,2002,4,0.029394760405160713,True,False,2002.0,
134748,0.22482145338573445,,2010,2014,5,0.04496429067714689,True,False,2011.0,
143870,0.21439933109335885,,2009,2020,12,0.01786661092444657,True,False,2011.0,
451652,0.1533544607374523,,2004,2009,6,0.02555907678957538,True,False,2007.0,
186772,0.18702510289992527,,2002,2020,19,0.00984342646841712,True,False,2003.0,
482460,0.11204379688836444,,2010,2012,3,0.03734793229612148,True,False,2013.0,
462987,0.287283286236329,,2002,2014,13,0.02209871432587146,True,False,2005.0,
159756,0.2483437436861393,,2002,2020,19,0.013070723351902068,True,False,2005.0,
667784,0.21435994970847352,0.21743678052069926,1999,2020,22,0.009743634077657888,True,False,2004.0,
135096,0.0351072677685518,,2007,2007,1,0.0351072677685518,True,False,2008.0,
33854,0.1769445368117131,,2012,2019,8,0.022118067101464137,True,False,2013.0,
1737,0.28034982117889595,,2005,2020,16,0.017521863823680997,True,False,2002.0,
726612,0.14740296405247802,,2007,2013,7,0.021057566293211146,True,False,2012.0,
149138,0.1774342023739717,,2008,2018,11,0.01613038203399743,True,False,2010.0,
166500,0.14700237902409846,,2012,2015,4,0.036750594756024615,True,False,2011.0,
132376,0.15148280430948385,,1997,2000,4,0.037870701077370963,True,False,2000.0,
354336,0.2831395372841093,,2005,2014,10,0.028313953728410928,True,False,2008.0,
137270,0.188414855871552,,2002,2007,6,0.031402475978592,True,False,2003.0,
176912,0.2302866381882534,,2005,2020,16,0.014392914886765838,True,False,2010.0,
517172,0.1940251851582746,,2007,2020,14,0.013858941797019615,True,False,2009.0,
154948,0.2758696350691544,,2010,2020,11,0.025079057733559493,True,False,2010.0,
180405,0.3002175877139982,,2009,2020,12,0.02501813230949985,True,False,2011.0,
238128,0.1575354636321654,,2003,2012,10,0.01575354636321654,True,False,2007.0,
424054,0.241124980769839,0.241124980769839,2001,2020,20,0.012056249038491949,True,False,2004.0,
394101,0.1406210785137374,,2002,2006,5,0.02812421570274748,True,False,2006.0,
