,pid
87288,350648
22386,2102
174309,62645
76971,97581
453861,399345
137292,57488
207768,57414
631581,655338
616573,628544
148325,59418
171829,66210
121401,52768
334378,263785
170579,678273
256950,181617
231894,63437
488116,449484
234714,67712
288112,213127
6637,361
200777,62585
136117,57155
191841,84897
233699,66365
187704,444200
497101,67039
234079,174993
441070,393073
633321,660508
355536,286205
310115,234618
242912,166736
423165,351656
248182,170999
470706,416371
444826,417174
153220,56336
484904,443622
167756,106684
309731,234506
317311,235977
426318,351180
555142,540164
225853,175120
232570,124982
435104,384208
23075,2230
676714,754462
154503,65270
338951,267211
261536,251206
264303,190780
249413,174374
233682,66345
229030,57190
300184,226083
547526,529401
162249,63919
338304,264565
113697,49780
236920,95006
137177,57471
450351,392481
423983,732415
402341,344197
401960,351386
466313,412915
246859,185517
488418,449392
484502,444212
495382,460412
210603,101503
166913,67446
258115,183172
296895,272914
161073,56706
506903,380367
660995,761699
425130,351607
508571,565522
451209,398782
619819,638695
188131,56628
233080,65013
216954,103037
526424,501765
324671,249991
143778,59880
225954,40243
453293,397835
241830,165339
505786,380223
257305,516235
495101,460365
430254,381174
511220,477149
484931,444155
296189,605205
441093,393607
236864,190028
284718,263531
455362,497395
179629,57532
142725,59390
425714,351626
246839,139889
459001,416220
266441,193170
201143,92542
461252,416676
476487,431894
192392,56428
405864,348846
208940,63434
220556,55106
424415,350799
244235,167366
470563,412644
228904,175141
261581,254104
118358,48828
309891,234556
146333,61526
11787,480567
221807,117064
136010,50277
183118,190015
142041,59250
163730,68207
224976,399638
148872,57001
157780,66766
272113,195506
205649,96498
392693,314113
537624,516445
261385,187703
60299,4047
686234,749804
492069,456693
145359,60793
252779,178189
130986,59074
602775,608560
100829,54312
159604,67403
205665,66331
513082,477108
85185,92752
147176,53897
518144,479059
615150,628663
230009,59132
505196,380321
82523,64560
189330,92782
444351,398847
235554,164210
447127,399803
475686,430430
162408,56406
318080,236090
58832,68623
495917,460290
685890,761142
381843,311978
207675,62488
247878,169073
237524,100505
407445,770090
520608,493998
234144,67173
118217,48825
228306,57483
265252,192036
432434,384674
263592,190025
164943,58844
178200,263432
307932,234103
115722,115284
404031,344206
358922,286948
276259,226112
151787,63676
226517,249035
157367,66758
237087,96667
479595,432787
292629,213931
10093,1452
582803,578639
234679,67680
636822,479223
271504,195407
38087,5089
232414,121456
498567,227301
181076,77685
620934,77101
222703,448103
133757,56226
481432,437738
80301,53192
181172,68075
490306,448932
491290,456685
146707,61626
400866,524227
587628,588440
